JobTitle,CompanyURL2,CompanyId,CompanyName,SalaryInsights,NoOfApplicants,CompanyLocation,EmploymentStatus,ExperienceLevel,Industries,Benefits,JobPostingUrl,PostedDate
Data Engineer,https://www.linkedin.com/company/planadigital,74544851,Plan A Digital,,7.0,"London Area, United Kingdom",Contract,Director,"Advertising Services, IT Services and IT Consulting",,https://www.linkedin.com/jobs/view/4125974795/?trk=jobs_biz_prem_srch,2025-01-16 16:07:12+00:00
Principal Data Engineer,https://www.linkedin.com/company/aubay-uk,33298609,Aubay UK,,24.0,"Greater London, England, United Kingdom",Full-time,Mid-Senior level,"Oil and Gas, Financial Services",,https://www.linkedin.com/jobs/view/4125907950/?trk=jobs_biz_prem_srch,2025-01-16 09:51:48+00:00
Data Platform Software Engineer,https://www.linkedin.com/company/referment,15165066,Referment,,11.0,"London Area, United Kingdom",Full-time,Mid-Senior level,Investment Management,,https://www.linkedin.com/jobs/view/4125910380/?trk=jobs_biz_prem_srch,2025-01-16 09:29:13+00:00
"Senior Business Intelligence Engineer, EU Consumables Customer Engagement",https://www.linkedin.com/company/amazon,1586,Amazon,,1.0,"London, England, United Kingdom",Full-time,Mid-Senior level,Software Development,,https://www.linkedin.com/jobs/view/4127560145/?trk=jobs_biz_prem_srch,2025-01-16 15:25:31+00:00
"Lead Data Engineer - Hybrid/London - £115,000 + Bonus",https://www.linkedin.com/company/tenthrevolution,34947348,Tenth Revolution Group,,,"London, England, United Kingdom",Full-time,Mid-Senior level,"Civil Engineering, Industrial Machinery Manufacturing",,https://www.linkedin.com/jobs/view/4125870748/?trk=jobs_biz_prem_srch,2025-01-16 15:15:31+00:00
Data Platform Developer/Engineer,https://www.linkedin.com/company/the-aa,166345,The AA,,9.0,"London, England, United Kingdom",Full-time,,"Motor Vehicle Manufacturing, Financial Services, Insurance",,https://www.linkedin.com/jobs/view/4124672486/?trk=jobs_biz_prem_srch,2025-01-15 20:48:04+00:00
SC Data Engineer - AWS,https://www.linkedin.com/company/free-work-uk,97189601,Free-Work UK,,7.0,"London, England, United Kingdom",Full-time,Entry level,Human Resources Services,,https://www.linkedin.com/jobs/view/4125669173/?trk=jobs_biz_prem_srch,2025-01-16 04:02:56+00:00
Senior Data Engineer,https://www.linkedin.com/company/barclays-bank,1426,Barclays,,61.0,"London, England, United Kingdom",Full-time,Mid-Senior level,"Banking, Financial Services",,https://www.linkedin.com/jobs/view/4125201285/?trk=jobs_biz_prem_srch,2025-01-15 21:48:19+00:00
IT Data Protection Security Engineer - Senior Manager,https://www.linkedin.com/company/boston-consulting-group,1784,Boston Consulting Group (BCG),,6.0,"London, England, United Kingdom",Full-time,Mid-Senior level,Business Consulting and Services,,https://www.linkedin.com/jobs/view/4124835423/?trk=jobs_biz_prem_srch,2025-01-15 10:49:15+00:00
"Data Engineer - £44,825 p.a.  benefits",https://www.linkedin.com/company/uk-civil-service,2184,UK Civil Service,,37.0,"London Colney, England, United Kingdom",Full-time,Entry level,Government Administration,,https://www.linkedin.com/jobs/view/4126171920/?trk=jobs_biz_prem_srch,2025-01-15 13:03:20+00:00
Senior Data Engineer,https://www.linkedin.com/company/iag-loyalty,42739776,IAG Loyalty,,25.0,"London Area, United Kingdom",Full-time,Mid-Senior level,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/4124158654/?trk=jobs_biz_prem_srch,2025-01-14 17:43:35+00:00
Data Engineer,https://www.linkedin.com/company/gravitas-recruitment-group-global,1365919,Gravitas Recruitment Group (Global) Ltd,,29.0,"London Area, United Kingdom",Full-time,Mid-Senior level,"Staffing and Recruiting, Data Infrastructure and Analytics, Software Development",,https://www.linkedin.com/jobs/view/4125936479/?trk=jobs_biz_prem_srch,2025-01-16 13:06:15+00:00
Data Analytics Platform Engineer,https://www.linkedin.com/company/citi,11448,Citi,,39.0,"London, England, United Kingdom",Full-time,,"Banking, Financial Services, Investment Banking",,https://www.linkedin.com/jobs/view/4124196769/?trk=jobs_biz_prem_srch,2025-01-15 00:46:25+00:00
"Data Software Engineer - Data Software Engineer - Python, AWS, Github, SQL, Snowflake and Terraform",https://www.linkedin.com/company/sainsburys,5015,Sainsbury's,,83.0,"London, England, United Kingdom",Full-time,Entry level,Retail,,https://www.linkedin.com/jobs/view/4122679059/?trk=jobs_biz_prem_srch,2025-01-14 19:01:45+00:00
Why this Senior Data Engineer role is like ballet.,https://www.linkedin.com/company/mongoosegray,3244141,Mongoose Gray,,10.0,"London Area, United Kingdom",Full-time,,,,https://www.linkedin.com/jobs/view/4124608332/?trk=jobs_biz_prem_srch,2025-01-15 19:58:28+00:00
Senior Data Engineer,https://www.linkedin.com/company/noqgroup,68701226,NOQ,,74.0,"London Area, United Kingdom",Full-time,,,,https://www.linkedin.com/jobs/view/4126042064/?trk=jobs_biz_prem_srch,2025-01-14 17:49:50+00:00
"Data Engineer / Warehouse Developer - £80,000 - Hybrid - London",https://www.linkedin.com/company/tenthrevolution,34947348,Tenth Revolution Group,,1.0,"City Of London, England, United Kingdom",Full-time,Entry level,IT Services and IT Consulting,,https://www.linkedin.com/jobs/view/4125872736/?trk=jobs_biz_prem_srch,2025-01-16 15:15:59+00:00
Senior Data Engineer,https://www.linkedin.com/company/spotify,207470,Spotify,,1482.0,"London, England, United Kingdom",Full-time,Mid-Senior level,Musicians,,https://www.linkedin.com/jobs/view/3965974943/?trk=jobs_biz_prem_srch,2025-01-16 10:02:48+00:00
"Data Engineer (Managed Services Engineer - Structured, Fibre and Voice Cabling systems)",https://www.linkedin.com/company/ng-bailey,39243,NG Bailey,,6.0,"London, England, United Kingdom",Contract,Entry level,Construction,,https://www.linkedin.com/jobs/view/4124954308/?trk=jobs_biz_prem_srch,2025-01-15 11:39:54+00:00
Data Lineage Engineer,https://www.linkedin.com/company/handelsbanken,25058754,Handelsbanken,,156.0,"London, England, United Kingdom",Full-time,Entry level,Banking,Medical insurance,https://www.linkedin.com/jobs/view/4006275176/?trk=jobs_biz_prem_srch,2025-01-16 15:06:52+00:00
Data Engineer,https://www.linkedin.com/company/datasourcerecruitment,348381,Datasource Recruitment,,96.0,"London Area, United Kingdom",Full-time,Mid-Senior level,"IT Services and IT Consulting, Business Consulting and Services, Information Services",Medical insurance,https://www.linkedin.com/jobs/view/4127198206/?trk=jobs_biz_prem_srch,2025-01-16 09:53:11+00:00
Senior Data Engineer,https://www.linkedin.com/company/numiteam,65625183,numi,,155.0,"London Area, United Kingdom",Full-time,Mid-Senior level,Staffing and Recruiting,,https://www.linkedin.com/jobs/view/4123835507/?trk=jobs_biz_prem_srch,2025-01-15 16:07:15+00:00
"Data Scientist/Engineer - £44,825 p.a.  benefits",https://www.linkedin.com/company/uk-civil-service,2184,UK Civil Service,,32.0,"London Colney, England, United Kingdom",Full-time,Entry level,Government Administration,,https://www.linkedin.com/jobs/view/4126171822/?trk=jobs_biz_prem_srch,2025-01-15 13:02:39+00:00
Data Engineer,https://www.linkedin.com/company/mbn-recruitment-solutions,520643,MBN Solutions,,1.0,"London Area, United Kingdom",Full-time,Mid-Senior level,"Technology, Information and Media, Financial Services",,https://www.linkedin.com/jobs/view/4125961043/?trk=jobs_biz_prem_srch,2025-01-16 16:03:00+00:00
"Data Engineer / Warehouse Developer - £80,000 - Hybrid - London",https://www.linkedin.com/company/tenthrevolution,34947348,Tenth Revolution Group,,10.0,"London, England, United Kingdom",Full-time,Entry level,Staffing and Recruiting,,https://www.linkedin.com/jobs/view/4127150208/?trk=jobs_biz_prem_srch,2025-01-16 07:54:14+00:00
Data Visualisation Engineer,https://www.linkedin.com/company/weareaspire,25152,WeAreAspire,,9.0,"London, England, United Kingdom",Full-time,Entry level,Marketing Services,,https://www.linkedin.com/jobs/view/4125969789/?trk=jobs_biz_prem_srch,2025-01-16 15:54:44+00:00
Senior Data Engineer,https://www.linkedin.com/company/entain,72559408,Entain,,74.0,"London, England, United Kingdom",Full-time,Mid-Senior level,Entertainment Providers,,https://www.linkedin.com/jobs/view/4126045210/?trk=jobs_biz_prem_srch,2025-01-14 18:34:35+00:00
Senior Data Engineer,https://www.linkedin.com/company/we-are-venatus,1116413,Venatus,,25.0,"London Area, United Kingdom",Full-time,Mid-Senior level,Advertising Services,,https://www.linkedin.com/jobs/view/4125107879/?trk=jobs_biz_prem_srch,2025-01-15 17:23:09+00:00
Data Engineer - Snowflake,https://www.linkedin.com/company/tenthrevolution,34947348,Tenth Revolution Group,,4.0,"London, England, United Kingdom",Full-time,Entry level,Staffing and Recruiting,,https://www.linkedin.com/jobs/view/4127153101/?trk=jobs_biz_prem_srch,2025-01-16 07:54:27+00:00
Principal Data Engineer - Core Systems,https://www.linkedin.com/company/iwoca,2533443,iwoca,,5.0,"London, England, United Kingdom",Full-time,Mid-Senior level,Financial Services,Medical insurance,https://www.linkedin.com/jobs/view/4126695995/?trk=jobs_biz_prem_srch,2025-01-16 02:17:51+00:00
